144395,Beauty.com,beauty.com,10-off-50-sitewide-plus-free-shipping-click-to-activate,http://www.retailmenot.com/out/4432753,"  $10 Off $50 Sitewide + Free Shipping - Click to Activate  Sale ","314 people used today","Last used 1 hour ago","102 votes"
144395,Beauty.com,beauty.com,free-stila-lip-glaze-with-40-purchase-plus-free-shipping-click-to-activate,http://www.retailmenot.com/out/4830590,"  Free Stila Lip Glaze With $40 Purchase + Free Shipping - Click to Activate  Sale ","37 people used today","Last used 3 hours ago","2 votes"
144395,Beauty.com,beauty.com,free-skin-care-trio-with-40-purchase-plus-free-shipping-click-to-activate,http://www.retailmenot.com/out/4830592,"  Free Skin Care Trio With $40 Purchase + Free Shipping - Click to Activate  Sale ","41 people used today","Last used 2 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-shipping-on-35-plus-sitewide-plus-5-percent-back,http://www.retailmenot.com/out/4819514,"  Free Shipping On $35+ Sitewide + 5% Back  Sale ","16 people used today","Last used 3 hours ago","6 votes"
144395,Beauty.com,beauty.com,free-restaurantcom-gift-card-with-clarisonic-purchase,http://www.retailmenot.com/out/4344432,"  Free Restaurant.com Gift Card With Clarisonic Purchase  Sale ","4 people used today","Last used 5 hours ago","3 votes"
144395,Beauty.com,beauty.com,20-percent-off-philosophy-products,http://www.retailmenot.com/out/4856051,"  20% Off Philosophy Products  Sale ","16 people used today","Last used 5 hours ago","2 votes"
144395,Beauty.com,beauty.com,free-sample-filled-camille-bag-with-any-100-beautycom-purchase,http://www.retailmenot.com/out/4858359,"  Free Sample-filled Camille Bag with Any $100 Beauty.com Purchase  Sale ","13 people used today","Last used 2 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-gift,http://www.retailmenot.com/out/4856535,"  free stila lip glaze ($22 value) on purchase of $40 in the makeup category ...  Sale ","8 people used today","Last used 5 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-tarte-lights-camera-lashes-4-in-1-mascara-in-black-with-any-25-purchase-plus-free-samples-plus-free-shipping-on-35-plus,http://www.retailmenot.com/out/4843777,"  Free Tarte Lights, Camera, Lashes! 4-in-1 Mascara in Black with any $25 Purchase + Free Samples + Free Shipping on $35+  Sale ","5 people used today","Last used 2 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-sparitual-nail-lacquer-in-hypnotic-with-any-25-purchase,http://www.retailmenot.com/out/4836694,"  Free SpaRitual Nail Lacquer in Hypnotic with any $25 Purchase  Sale ","8 people used today","Last used 2 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-travel-size-full-exposure-mascara-with-25-smashbox-purchase,http://www.retailmenot.com/out/4830599,"  Free Travel Size Full Exposure Mascara With $25 Smashbox Purchase  Sale ","2 people used today","Last used 5 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-jonathan-product-hydrating-balm-with-40-jonathan-product-purchase,http://www.retailmenot.com/out/4830595,"  Free Jonathan Product Hydrating Balm With $40 Jonathan Product Purchase  Sale ","1 person used today","Last used 5 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-full-size-alicia-silverstone-for-juice-beauty-irresistible-glow-facial-highlighter-with-30-purchase,http://www.retailmenot.com/out/4830594,"  Free Full Size Alicia Silverstone for Juice Beauty Irresistible Glow Facial Highlighter With $30 Purchase  Sale ","2 people used today","Last used 4 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-travel-sized-primer-with-40-too-faced-purchase,http://www.retailmenot.com/out/4830588,"  Free Travel Sized Primer With $40 Too Faced Purchase  Sale ","1 person used today","Last used 5 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-soy-face-cleanser-with-20-fresh-products,http://www.retailmenot.com/out/4822562,"  Free Soy Face Cleanser With $20 Fresh Products  Sale ","1 person used today","Last used 5 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-lip-glaze-trio-with-stila-50-purchase,http://www.retailmenot.com/out/4822561,"  Free Lip Glaze Trio With Stila $50 Purchase  Sale ","3 people used today","Last used 5 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-acyl-gluthathione-with-40-perricone-md-purchase,http://www.retailmenot.com/out/4819485,"  Free Acyl-Gluthathione With $40 Perricone MD Purchase  Sale ","1 person used today","Last used 5 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-full-size-nourishing-spray-gel-with-40-nick-chavez-purchase,http://www.retailmenot.com/out/4819484,"  Free Full Size Nourishing Spray Gel With $40 Nick Chavez Purchase  Sale ","1 person used today","Last used 5 hours ago","1 vote"
144395,Beauty.com,beauty.com,clarisonic-mia-with-eve-lom-special-value-set-only-119,http://www.retailmenot.com/out/4816097,"  Clarisonic Mia with Eve Lom Special Value Set Only $119  Sale ","3 people used today","Last used 5 hours ago","1 vote"
144395,Beauty.com,beauty.com,10-off-tweezerman-purchases-50-plus-and-free-shipping,http://www.retailmenot.com/out/4786791,"  $10 Off Tweezerman Purchases $50+ & Free Shipping  Sale ","2 people used today","Last used 5 hours ago","1 vote"
144395,Beauty.com,beauty.com,skin-care-products-on-sale,http://www.retailmenot.com/out/4786792,"  skin care products on sale  Sale ","5 people used today","Last used 5 hours ago","1 vote"
144395,Beauty.com,beauty.com,free-ipad-case-with-app-purchase,http://www.retailmenot.com/out/4333643,"  Free iPad case with App Purchase  Sale ","1 person used today","Last used 5 hours ago","1 vote"
